timestamp,open,high,low,close,adjusted close,volume,dividend amount
31/01/2008,108.99,108.99,97.04,107.11,58.6352,247523900,0
31/12/2007,105.45,112.19,104,108.1,59.1772,134151600,0
30/11/2007,115.5,116.09,99.27,105.18,57.5787,200920600,0.4
31/10/2007,117.61,121.46,110.96,116.12,63.3395,171669000,0
28/09/2007,116.34,118.89,114.3,117.8,64.2559,132233800,0
31/08/2007,110.39,117.35,103.7,116.69,63.6504,202871500,0.4
31/07/2007,105.39,118.82,104.58,110.65,60.1429,212757600,0
29/06/2007,106.62,107.24,101.56,105.25,57.2077,169602000,0
31/05/2007,102.06,108.05,101.35,106.6,57.9415,146441400,0.4
30/04/2007,94.51,103,93.911,102.21,55.3411,166807200,0
30/03/2007,90.25,95.81,88.77,94.26,51.0366,163194500,0
28/02/2007,98.97,100.44,92.47,92.94,50.3219,125776200,0.3
31/01/2007,97.17,100.9,94.55,99.15,53.5229,192702000,0
29/12/2006,91.9,97.88,90.55,97.15,52.4433,104470200,0
30/11/2006,92.5,94.05,90.43,91.92,49.62,104430000,0.3
31/10/2006,81.76,92.68,81.56,92.33,49.6804,170367300,0
29/09/2006,81.13,83.79,79.31,81.94,44.0898,102776100,0
31/08/2006,76.86,81.68,74.9,80.97,43.5679,100880300,0.3
31/07/2006,77.54,78.53,72.73,77.41,41.4871,137188300,0
30/06/2006,79.89,80.87,76.06,76.82,41.1709,139457800,0
31/05/2006,82.59,83.69,79,79.9,42.8216,113146500,0.3
28/04/2006,82.72,84.45,80.63,82.34,43.9701,114007000,0
31/03/2006,80.01,84.99,79.51,82.47,44.0396,111514900,0
28/02/2006,80.9,82.24,78.93,80.24,42.8487,111052200,0.2
31/01/2006,82.45,85.03,80.21,81.3,43.3076,146491600,0
30/12/2005,89.15,89.92,81.56,82.2,43.787,120052400,0
30/11/2005,81.85,89.94,80.64,88.9,47.356,110664500,0.2
31/10/2005,80.22,84.6,78.7,81.88,43.5119,139881800,0
30/09/2005,80.16,82.11,76.93,80.22,42.6297,115681400,0
31/08/2005,83,84.2,79.87,80.62,42.8423,105031100,0.2
29/07/2005,74.3,85.11,74.16,83.46,44.2454,156801500,0
30/06/2005,75.57,77.73,73.45,74.2,39.3363,135542800,0
31/05/2005,76.88,78.11,72.5,75.55,40.052,138416000,0.2
29/04/2005,91.49,91.76,71.85,76.38,40.3847,216745500,0
31/03/2005,92.64,93.73,89.09,91.38,48.3157,106145200,0
28/02/2005,93.67,94.97,91.55,92.58,48.9501,79707700,0.18
31/01/2005,98.97,99.1,91.44,93.42,49.3,114459000,0
31/12/2004,94.5,99,94.47,98.58,52.0231,108170400,0
30/11/2004,89.33,96.63,89.23,94.24,49.7327,114982100,0.18
29/10/2004,85.95,90.27,84.29,89.75,47.2721,118116100,0
30/09/2004,84.05,87.28,83.24,85.74,45.16,93906300,0
31/08/2004,86.87,87.39,81.9,84.69,44.607,91169700,0.18
30/07/2004,88.28,88.44,83.42,87.07,45.7619,121001000,0
30/06/2004,88.09,91.21,87.3,88.15,46.3295,91968600,0
28/05/2004,88.13,89.75,85.12,88.59,46.5607,104707300,0.18
30/04/2004,91.67,94.55,88.01,88.17,46.2458,110632000,0
31/03/2004,96.5,97.6,90.28,91.84,48.1707,124483700,0
27/02/2004,99.15,100.43,95.2,96.5,50.6149,97741900,0.16
30/01/2004,92.86,99.85,89.01,99.23,51.9628,139368500,0
31/12/2003,90.9,94.12,90.03,92.68,48.5328,116103600,0
28/11/2003,89.9,91.48,87.72,90.54,47.4122,97966100,0.16
31/10/2003,88.75,94.54,87.53,89.48,46.7734,156145400,0
30/09/2003,82.4,93.47,82.3,88.33,46.1722,171943100,0
29/08/2003,81.15,84.72,78.73,82.01,42.8686,113895200,0.16
31/07/2003,81.4,87.03,80.58,81.25,42.3863,153915600,0
30/06/2003,89,89.08,79.81,82.5,43.0384,184488300,0
30/05/2003,85.3,90.4,84.45,88.04,45.9285,149548000,0.16
30/04/2003,78.5,86.49,78.12,84.9,44.2088,177874300,0
31/03/2003,78.9,84.9,73.17,78.43,40.8398,191937200,0
28/02/2003,78.2,80.05,74.31,77.95,40.5898,145672700,0.15
31/01/2003,78.8,88.95,77.02,78.2,40.6414,193933500,0
31/12/2002,88.6,89.46,75.6,77.5,40.2776,151563500,0
29/11/2002,78.9,88.11,76.7,86.92,45.1732,184438100,0.15
31/10/2002,59.2,79.79,54.01,78.94,40.9506,285626300,0
30/09/2002,74.2,77.5,57.99,58.31,30.2487,185664400,0
30/08/2002,70.4,82.85,65.85,75.38,39.1038,166322300,0.15
31/07/2002,72.01,74.2,65.7,70.4,36.4414,246256900,0
28/06/2002,80.75,80.95,66.1,72,37.2696,190980700,0
31/05/2002,83.85,86.49,75.92,80.45,41.6436,172738400,0.15
30/04/2002,104,104,83.34,83.76,43.2783,246503300,0
28/03/2002,98.6,108.85,98.5,104,53.7362,151268500,0
28/02/2002,107.64,109.3,95.76,98.12,50.698,172321000,0.14
31/01/2002,120.6,126.39,101,107.89,55.673,193562900,0
31/12/2001,114.8,124.7,113.21,120.96,62.4173,133393800,0
30/11/2001,107.25,117,106.9,115.59,59.6463,135136300,0.14
31/10/2001,91.72,112.1,91.34,108.07,55.6974,224351500,0
28/09/2001,100.15,103.13,87.49,91.72,47.2709,189312500,0
31/08/2001,105.35,110.09,98.86,99.95,51.5125,143401500,0.14
31/07/2001,113.5,115.4,101.56,105.21,54.1506,161016400,0
29/06/2001,112.5,119,111.1,113.5,58.4174,142929700,0
31/05/2001,115.85,119.9,110.96,111.8,57.5424,159356200,0.14
30/04/2001,97.45,118.05,90.05,115.14,59.1911,226210900,0
30/03/2001,99.3,108.4,87.65,96.18,49.4442,254550000,0
28/02/2001,112.4,118.64,99.1,99.9,51.3565,156438900,0.13
31/01/2001,84.5,116.75,83.75,112,57.5129,198962600,0
29/12/2000,94.44,104.75,80.06,85,43.6482,167790700,0
30/11/2000,98.44,104.37,91.62,93.5,48.013,130411900,0.13
31/10/2000,112.62,119.62,86.94,98.5,50.5149,223510000,0
29/09/2000,133.06,134.94,110.25,112.62,57.7562,107468400,0
31/08/2000,112,134.25,110.25,132.02,67.7054,121998000,0.13
31/07/2000,108.75,117.81,100,112.25,57.5036,150130400,0
30/06/2000,107.56,122.31,105.5,109.56,56.1256,136216300,0
31/05/2000,112.5,113.62,102,107.31,54.9729,123803200,0.13
28/04/2000,120,128,101.25,111.5,57.0518,168464800,0
31/03/2000,102,128.25,99.5,118.37,60.567,194329000,0
29/02/2000,112.37,119.75,100.94,102.75,52.5746,133524400,0.12
31/01/2000,112.44,124.75,109.62,112.25,57.3776,175259600,0
31/12/1999,102.56,122.12,102.25,107.87,55.1387,158626300,0
